"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 28, 0, 0, 0, 13, 8, 49
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\AdminSidebar.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\BarChart.php", "PHP", 0, 0, 17, 0, 0, 0, 3, 6, 26
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Carousel.php", "PHP", 0, 0, 26, 0, 0, 0, 7, 5, 38
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\DashboardCard.php", "PHP", 0, 0, 19, 0, 0, 0, 3, 6, 28
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\DoughnutChart.php", "PHP", 0, 0, 17, 0, 0, 0, 3, 6, 26
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Footer.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Modal.php", "PHP", 0, 0, 17, 0, 0, 0, 6, 6, 29
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Navbar.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Spinner.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Testimonials.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\banner.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\call-to-action.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\cart-products-spreader.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\cta.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\loader.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\nav.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\products-spreader.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\sectionsHeader.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\services.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 5, 27
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\helpers\functions.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\bootstrap\app.php", "PHP", 0, 0, 18, 0, 0, 0, 30, 10, 58
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\composer.json", "JSON", 0, 0, 0, 0, 70, 0, 0, 2, 72
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\composer.lock", "JSON", 0, 0, 0, 0, 8416, 0, 0, 1, 8417
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\app.php", "PHP", 0, 0, 48, 0, 0, 0, 134, 34, 216
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\auth.php", "PHP", 0, 0, 28, 0, 0, 0, 74, 14, 116
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\broadcasting.php", "PHP", 0, 0, 35, 0, 0, 0, 23, 13, 71
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\cache.php", "PHP", 0, 0, 58, 0, 0, 0, 34, 19, 111
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\cors.php", "PHP", 0, 0, 3, 0, 0, 0, 29, 3, 35
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\database.php", "PHP", 0, 0, 83, 0, 0, 0, 47, 22, 152
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\filesystems.php", "PHP", 0, 0, 39, 0, 0, 0, 32, 14, 85
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\hashing.php", "PHP", 0, 0, 12, 0, 0, 0, 32, 9, 53
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\logging.php", "PHP", 0, 0, 79, 0, 0, 0, 34, 19, 132
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\mail.php", "PHP", 0, 0, 53, 0, 0, 0, 53, 19, 125
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\queue.php", "PHP", 0, 0, 47, 0, 0, 0, 32, 15, 94
